,killer_recording_id,victim_recording_id,timestamp,recording_id,session_id,timestamp
92,3443200,3447355,1510687208735,3443200,37549105,1510686497787
93,3455408,3447379,1510688048963,3455408,37549105,1510688015813
94,3450833,3447393,1510687778460,3450833,37549105,1510687424838
95,3450203,3447395,1510687462391,3450203,37549105,1510687348465
96,3446169,3447424,1510687793759,3446169,37549105,1510686856971
97,3452241,3447481,1510687628520,3452241,37549105,1510687616392
98,3447218,3447497,1510687014590,3447218,37549105,1510686973424
99,3449680,3447588,1510687465110,3449680,37549105,1510687280410
100,3451858,3447681,1510687658398,3451858,37549105,1510687577164
101,3447218,3447733,1510687101146,3447218,37549105,1510686973424
102,3446169,3448020,1510687777005,3446169,37549105,1510686856971
103,3449069,3448022,1510687697351,3449069,37549105,1510687197720
104,3446034,3448195,1510687207028,3446034,37549105,1510686844375
105,3447218,3448197,1510687434488,3447218,37549105,1510686973424
106,3449680,3448374,1510687412896,3449680,37549105,1510687280410
107,3443200,3448402,1510687231564,3443200,37549105,1510686497787
108,3472516,3448659,1510690249728,3472516,37549105,1510690045668
109,3448195,3448825,1510687218389,3448195,37549105,1510687095952
110,3444688,3449069,1510687232882,3444688,37549105,1510686676952
111,3447264,3449084,1510687961924,3447264,37549105,1510686979529
112,3454142,3449140,1510687898201,3454142,37549105,1510687861269
113,3457757,3449292,1510688955991,3457757,37549105,1510688313675
114,3450203,3449344,1510687637757,3450203,37549105,1510687348465
115,3449069,3449586,1510687453346,3449069,37549105,1510687197720
116,3454042,3449608,1510688264217,3454042,37549105,1510687849139
117,3449140,3449618,1510688497392,3449140,37549105,1510687208970
118,3449069,3449638,1510687456202,3449069,37549105,1510687197720
119,3446169,3449680,1510687347358,3446169,37549105,1510686856971
120,3459087,3449687,1510688511100,3459087,37549105,1510688458951
121,3446088,3449759,1510687372698,3446088,37549105,1510686849667
122,3459522,3449838,1510689043762,3459522,37549105,1510688503097
123,3443221,3449917,1510687350072,3443221,37549105,1510686499035
124,3447218,3449976,1510687357639,3447218,37549105,1510686973424
125,3443221,3450002,1510687407508,3443221,37549105,1510686499035
126,3446088,3450058,1510687400194,3446088,37549105,1510686849667
127,3450888,3450070,1510688327509,3450888,37549105,1510687432232
128,3449084,3450099,1510687717311,3449084,37549105,1510687199887
129,3450203,3450105,1510687570940,3450203,37549105,1510687348465
130,3450070,3450203,1510687685534,3450070,37549105,1510687330379
131,3452528,3450226,1510688097686,3452528,37549105,1510687652058
132,3449292,3450551,1510688234488,3449292,37549105,1510687233300
133,3447218,3450833,1510687527478,3447218,37549105,1510686973424
134,3453249,3450865,1510688072806,3453249,37549105,1510687748552
135,3452188,3450888,1510687843029,3452188,37549105,1510687611546
136,3450203,3451124,1510687547682,3450203,37549105,1510687348465
137,3452188,3451146,1510687852101,3452188,37549105,1510687611546
138,3453249,3451237,1510688072806,3453249,37549105,1510687748552
139,3456307,3451316,1510688661858,3456307,37549105,1510688119694
140,3452003,3451366,1510687952421,3452003,37549105,1510687589941
141,3452483,3451377,1510687766049,3452483,37549105,1510687647844
142,3452188,3451449,1510687768947,3452188,37549105,1510687611546
143,3447218,3451473,1510687571664,3447218,37549105,1510686973424
144,3454817,3451527,1510687967746,3454817,37549105,1510687947478
145,3457757,3451555,1510688518005,3457757,37549105,1510688313675
146,3451366,3451619,1510687711333,3451366,37549105,1510687505016
147,3451449,3451621,1510687710943,3451449,37549105,1510687520346
148,3450888,3451689,1510687914379,3450888,37549105,1510687432232
149,3449687,3451801,1510688133029,3449687,37549105,1510687281295
150,3451955,3451858,1510687780234,3451955,37549105,1510687583182
151,3449084,3451955,1510687940857,3449084,37549105,1510687199887
152,3450070,3451960,1510688356592,3450070,37549105,1510687330379
153,3457988,3452003,1510689434512,3457988,37549105,1510688328875
154,3452768,3452080,1510687733449,3452768,37549105,1510687686199
155,3450070,3452083,1510687858668,3450070,37549105,1510687330379
156,3451237,3452188,1510687867879,3451237,37549105,1510687486146
157,3443186,3452457,1510687796622,3443186,37549105,1510686496939
158,3454142,3452483,1510687900536,3454142,37549105,1510687861269
159,3454856,3452507,1510687956511,3454856,37549105,1510687952037
160,3451316,3452528,1510688256969,3451316,37549105,1510687497807
161,3453195,3452768,1510687813872,3453195,37549105,1510687740026
162,3464635,3452819,1510689156610,3464635,37549105,1510689105750
163,3452819,3453124,1510687844105,3452819,37549105,1510687692881
164,3451955,3453195,1510687882123,3451955,37549105,1510687583182
165,3451955,3453231,1510687769479,3451955,37549105,1510687583182
166,3454475,3453249,1510687923586,3454475,37549105,1510687906362
167,3459118,3453465,1510688494289,3459118,37549105,1510688463199
168,3454042,3453477,1510687932477,3454042,37549105,1510687849139
169,3451955,3453764,1510687877965,3451955,37549105,1510687583182
170,3454042,3453809,1510688175686,3454042,37549105,1510687849139
171,3452819,3453813,1510688542892,3452819,37549105,1510687692881
172,3452003,3453887,1510688003059,3452003,37549105,1510687589941
173,3452528,3453916,1510687935383,3452528,37549105,1510687652058
174,3456851,3454042,1510689043107,3456851,37549105,1510688192307
175,3454142,3454058,1510687902237,3454142,37549105,1510687861269
176,3452003,3454141,1510687937674,3452003,37549105,1510687589941
177,3454058,3454142,1510687901817,3454058,37549105,1510687851140
178,3454856,3454145,1510688055274,3454856,37549105,1510687952037
179,3457613,3454150,1510688504538,3457613,37549105,1510688294168
180,3451527,3454374,1510687962841,3451527,37549105,1510687533960
181,3448659,3454437,1510688278075,3448659,37549105,1510687147078
182,3453249,3454475,1510687923793,3453249,37549105,1510687748552
183,3455553,3454504,1510689028704,3455553,37549105,1510688031304
184,3453249,3454506,1510688072807,3453249,37549105,1510687748552
185,3452528,3454523,1510687991779,3452528,37549105,1510687652058
186,3456161,3454532,1510688122972,3456161,37549105,1510688099568
187,3457184,3454579,1510688336501,3457184,37549105,1510688241664
188,3462564,3454614,1510689161550,3462564,37549105,1510688861164
189,3454620,3454620,1510687961679,3454620,37549105,1510687921624
190,3457613,3454658,1510688504537,3457613,37549105,1510688294168
191,3454532,3454776,1510688009943,3454532,37549105,1510687913755
192,3453887,3454817,1510687969416,3453887,37549105,1510687834125
193,3452483,3454856,1510688057380,3452483,37549105,1510687647844
194,3454977,3454973,1510688001679,3454977,37549105,1510687964512
195,3454856,3454977,1510688020627,3454856,37549105,1510687952037
196,3454042,3455005,1510688272108,3454042,37549105,1510687849139
197,3451237,3455092,1510688122131,3451237,37549105,1510687486146
198,3455661,3455217,1510688133904,3455661,37549105,1510688040502
199,3465604,3455283,1510689228917,3465604,37549105,1510689221082
200,3450226,3455317,1510688061403,3450226,37549105,1510687349116
201,3455317,3455343,1510688047565,3455317,37549105,1510688006298
202,3451955,3455383,1510688152367,3451955,37549105,1510687583182
203,3455553,3455408,1510688098047,3455553,37549105,1510688031304
204,3454042,3455502,1510688989931,3454042,37549105,1510687849139
205,3454614,3455526,1510688281010,3454614,37549105,1510687921390
206,3449140,3455529,1510688077489,3449140,37549105,1510687208970
207,3472441,3455553,1510690206656,3472441,37549105,1510690033600
208,3446035,3455583,1510688495447,3446035,37549105,1510686843456
209,3456853,3455658,1510689169334,3456853,37549105,1510688192346
210,3454042,3455661,1510688185147,3454042,37549105,1510687849139
211,3450226,3455988,1510688094213,3450226,37549105,1510687349116
212,3457250,3456129,1510689643277,3457250,37549105,1510688248783
213,3454532,3456161,1510688122193,3454532,37549105,1510687913755
214,3456853,3456307,1510688931466,3456853,37549105,1510688192346
215,3451316,3456308,1510688435568,3451316,37549105,1510687497807
216,3452819,3456575,1510688952163,3452819,37549105,1510687692881
217,3457879,3456639,1510688406072,3457879,37549105,1510688320581
218,3451555,3456851,1510688498161,3451555,37549105,1510687538631
219,3447264,3456853,1510689043874,3447264,37549105,1510686979529
220,3459087,3456895,1510689806176,3459087,37549105,1510688458951
221,3457103,3456928,1510688326266,3457103,37549105,1510688228613
222,3443277,3456971,1510688304661,3443277,37549105,1510686504656
223,3459153,3457021,1510689112109,3459153,37549105,1510688467025
224,3443277,3457045,1510688304974,3443277,37549105,1510686504656
225,3456928,3457046,1510688254660,3456928,37549105,1510688203834
226,3449838,3457047,1510688297902,3449838,37549105,1510687297583
227,3450888,3457049,1510688607463,3450888,37549105,1510687432232
228,3454658,3457101,1510688317879,3454658,37549105,1510687928555
229,3464522,3457103,1510689295233,3464522,37549105,1510689094886
230,3456928,3457141,1510688249386,3456928,37549105,1510688203834
231,3457250,3457143,1510689647511,3457250,37549105,1510688248783
232,3446035,3457144,1510689036014,3446035,37549105,1510686843456
233,3458010,3457184,1510688472539,3458010,37549105,1510688331454
234,3466288,3457214,1510689719958,3466288,37549105,1510689303491
235,3448659,3457218,1510688924603,3448659,37549105,1510687147078
236,3456895,3457250,1510689731588,3456895,37549105,1510688199681
237,3450070,3457526,1510688324272,3450070,37549105,1510687330379
238,3449838,3457564,1510688353470,3449838,37549105,1510687297583
239,3469731,3457611,1510690331327,3469731,37549105,1510689728879
240,3454150,3457613,1510688504491,3454150,37549105,1510687862562
241,3457692,3457692,1510689060113,3457692,37549105,1510688307496
242,3464722,3457757,1510689145030,3464722,37549105,1510689119184
243,3454658,3457879,1510688585406,3454658,37549105,1510687928555
244,3449838,3457895,1510688337836,3449838,37549105,1510687297583
245,3464122,3457988,1510689367370,3464122,37549105,1510689048704
246,3457184,3458010,1510688811164,3457184,37549105,1510688241664
247,3454658,3458199,1510688506936,3454658,37549105,1510687928555
248,3454042,3458211,1510688401658,3454042,37549105,1510687849139
249,3460154,3458220,1510689047942,3460154,37549105,1510688571460
250,3456307,3458389,1510688890489,3456307,37549105,1510688119694
251,3460154,3458733,1510689047942,3460154,37549105,1510688571460
252,3447264,3458864,1510688491240,3447264,37549105,1510686979529
253,3450888,3459087,1510688877101,3450888,37549105,1510687432232
254,3464068,3459118,1510689182297,3464068,37549105,1510689043775
255,3464708,3459153,1510689149482,3464708,37549105,1510689118229
256,3467833,3459164,1510689709181,3467833,37549105,1510689502920
257,3456853,3459489,1510688769378,3456853,37549105,1510688192346
258,3457046,3459522,1510689053652,3457046,37549105,1510688225679
259,3464722,3459542,1510689130390,3464722,37549105,1510689119184
260,3451316,3459611,1510688603413,3451316,37549105,1510687497807
261,3455553,3459989,1510689070769,3455553,37549105,1510688031304
262,3459087,3460101,1510688937005,3459087,37549105,1510688458951
263,3464649,3460154,1510689116353,3464649,37549105,1510689109891
264,3469181,3460177,1510690225546,3469181,37549105,1510689661732
265,3456853,3460178,1510688999412,3456853,37549105,1510688192346
266,3463967,3460225,1510689893664,3463967,37549105,1510689030594
267,3458010,3460429,1510688764929,3458010,37549105,1510688331454
268,3459522,3460434,1510689032978,3459522,37549105,1510688503097
269,3456307,3460775,1510688777165,3456307,37549105,1510688119694
270,3450888,3460890,1510688666533,3450888,37549105,1510687432232
271,3451316,3461054,1510688704609,3451316,37549105,1510687497807
272,3450888,3461093,1510688779450,3450888,37549105,1510687432232
273,3465034,3461095,1510689160131,3465034,37549105,1510689154830
274,3456853,3461494,1510688872338,3456853,37549105,1510688192346
275,3459989,3461997,1510688814989,3459989,37549105,1510688552143
276,3454042,3462185,1510688893817,3454042,37549105,1510687849139
277,3452819,3462189,1510689031800,3452819,37549105,1510687692881
278,3450226,3462242,1510689765020,3450226,37549105,1510687349116
279,3457103,3462402,1510689042598,3457103,37549105,1510688228613
280,3464393,3462564,1510689430194,3464393,37549105,1510689076466
281,3454042,3462594,1510688931788,3454042,37549105,1510687849139
282,3454042,3462708,1510688882246,3454042,37549105,1510687849139
283,3457988,3463210,1510689429616,3457988,37549105,1510688328875
284,3456853,3463232,1510688960686,3456853,37549105,1510688192346
285,3459087,3463275,1510688961430,3459087,37549105,1510688458951
286,3454042,3463377,1510688961759,3454042,37549105,1510687849139
287,3450226,3463378,1510689743269,3450226,37549105,1510687349116
288,3448659,3463384,1510689026550,3448659,37549105,1510687147078
289,3447264,3463387,1510689064074,3447264,37549105,1510686979529
290,3459153,3463495,1510689033351,3459153,37549105,1510688467025
291,3462564,3463582,1510689236369,3462564,37549105,1510688861164
