,victim_recording_id,attacker_recording_id,type_id,timestamp,victim_pos_x,victim_pos_y,victim_pos_z,victim_rot_x,victim_rot_y,victim_rot_z,attacker_pos_x,attacker_pos_y,attacker_pos_z,attacker_rot_x,attacker_rot_y,attacker_rot_z,weapon_id,hitbone_id,damage_flags,recording_id,session_id,timestamp
0,3443200,3451366,9,1510687883136,-16335.9755859375,-122326.6796875,-1515.28503417969,0.767570614814758,-0.638971567153931,0.050503995269537,-18970.767578125,-128545.2578125,-207.62141418457,0.41020330786705,0.883686721324921,-0.225457608699799,1719842945,-1,,3443200,37549105,1510686497787
1,3443224,3447681,9,1510687499756,-16652.8046875,-78191.2421875,-5249.76611328125,0.805522918701172,0.54597544670105,-0.230312213301659,-14382.384765625,-84659.21875,-5151.32861328125,-0.321142584085464,0.946453213691711,0.0330704301595688,-748308999,-1,,3443224,37549105,1510686500040
2,3443224,3443257,9,1510687166055,-16622.42578125,-77757.125,-5265.4326171875,-0.21252715587616,0.975253164768219,-0.0609382465481758,-33137.64453125,-70893.75,-1662.56457519531,0.868812203407288,-0.413877844810486,-0.271791160106659,-748308999,-1,,3443224,37549105,1510686500040
3,3443224,3447681,9,1510687552916,-16677.115234375,-78277.484375,-5229.09765625,0.933653712272644,-0.318198144435883,-0.16444043815136,-13906.255859375,-81829.703125,-5194.935546875,-0.625700116157532,0.779946565628052,0.0135177941992879,-748308999,-1,,3443224,37549105,1510686500040
4,3446094,3446206,9,1510687097250,17867.931640625,-115967.5390625,-5118.88623046875,-0.856149971485138,-0.49273082613945,0.155638977885246,16077.28515625,-116932.8359375,-4570.2421875,0.850334644317627,0.450955748558044,-0.271237701177597,1581610878,0,,3446094,37549105,1510686850052
5,3446094,3446206,9,1510687101703,17913.22265625,-115962.640625,-5164.8173828125,-0.875530540943146,-0.367879569530487,0.31322655081749,16080.978515625,-116888.2109375,-4594.056640625,0.855765998363495,0.433021128177643,-0.28312075138092,1581610878,0,,3446094,37549105,1510686850052
6,3443683,3446585,9,1510687032771,6848.685546875,-115333.46875,-4951.71875,-0.201194509863853,0.939692139625549,-0.276585429906845,4447.67724609375,-127957.25,-3598.30029296875,0.198675543069839,0.975808918476105,-0.0912406519055367,1133825561,0,,3443683,37549105,1510686545094
7,3443177,3443195,9,1510686717659,14195.369140625,-114563.828125,-4622.791015625,-0.489876568317413,-0.871363639831543,0.0273206308484077,11801.7041015625,-119024.1640625,-4598.76904296875,0.477017760276794,0.878811955451965,-0.0119840614497662,1581610878,0,,3443177,37549105,1510686496939
8,3443177,3443195,9,1510686711254,14068.7734375,-114361.796875,-4558.45556640625,0.998282968997955,-0.0267095752060413,-0.0521318539977074,11815.61328125,-119031.71875,-4598.76904296875,0.435525298118591,0.899770438671112,0.0270331185311079,1581610878,0,,3443177,37549105,1510686496939
9,3443177,3443195,9,1510686720106,14137.439453125,-114519.828125,-4619.998046875,-0.653401732444763,-0.754982471466064,0.0553866997361183,11801.7041015625,-119024.1640625,-4598.76904296875,0.463656365871429,0.885946452617645,-0.011025682091713,1581610878,0,,3443177,37549105,1510686496939
